name,ra,decl,spt,sptnum,plx,plx_err,pmra,pmdec,pmtot,radvel,radvel_err,GAIA_G,GAIA_Ge,GAIA_B,GAIA_Be,GAIA_R,GAIA_Re,2MASS_J,2MASS_Je,2MASS_H,2MASS_He,2MASS_KS,2MASS_KSe,SDSS_G,SDSS_R,SDSS_I,SDSS_Z,PANSTARRS_Ge,PANSTARRS_Re,PANSTARRS_Ie,PANSTARRS_Ze,PANSTARRS_Y,PANSTARRS_Ye,WISE_W1,WISE_W1e,WISE_W2,WISE_W2e,WISE_W3,WISE_W3e,WISE_W4,WISE_W4e,MKO_Y,MKO_Ye,MKO_J,MKO_Je,MKO_H,MKO_He,MKO_K,MKO_Ke,PANSTARRS_G,PANSTARRS_R,PANSTARRS_I,PANSTARRS_Z,PANSTARRS_Y
CFBDS J152655.80+034536.2,231.7323,3.7597,T4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,20.57,0.07,18.284,,16.312,0.211,12.749,,9.206,,19.128,0.08,18.008,0.058,17.864,0.055,17.965,0.113,,,,21.43999954,19.93599969
ULAS J102144.87+054446.1,155.4368,5.7457,T6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.53,0.06,16.726,0.122,15.699,0.232,11.583,,8.281,,18.82,0.03,17.66,0.02,17.96,0.02,17.97,0.03,,,,,19.89600069
ULAS J123327.45+121952.2,188.3643,12.331,T3.5,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,20.48,0.07,,,,,,,,,19.22,0.05,17.87,0.03,18.28,0.06,19.03,0.06,,,,21.41000076,19.84599954
WISE J184041.77+293229.2,280.1741,29.5415,T6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.48,0.15,18.616,0.381,15.094,0.073,12.806,,9.162,,,,17.89,0.01,18.12,0.03,,,,,,,19.84599954
ULAS J020013.18+090835.2,30.0548,9.1434,T6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,20.46,0.11,,,,,,,,,18.975,0.075,17.806,0.04,18.179,0.114,18.185,0.198,,,,21.53999992,19.82599908
ULAS J084710.35+020413.3,131.793,2.0703,L5.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,20.46,0.09,15.898,0.055,15.565,0.121,12.334,,8.799,,19.777,0.115,18.182,0.05,17.156,0.037,16.406,0.039,,,,20.83000084,19.82599908
WISEPA J143602.19-181421.8,219.0092,-18.2395,T8 pec,28,20.7,1,,,,,,,,,,,,,,,,,,,,,,,,,0.11,20.44,0.12,16.887,0.108,14.603,0.063,12.596,0.436,8.955,,,,17.4,0.02,,,,,,,,21.33999916,19.80600053
ULAS J230434.41+080401.4,346.1435,8.0669,T2:,22,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,20.43,0.1,16.405,0.077,15.596,0.131,11.931,,9.053,,19.119,0.072,17.888,0.046,17.478,0.076,17.218,0.09,,,,21.32000061,19.79600031
ULAS J231557.61+132256.2,348.9903,13.3821,T6.5,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,20.43,0.11,17.713,0.219,15.585,0.122,12.454,,9.154,,18.83,0.03,17.71,0.05,18.16,0.05,18.14,0.03,,,,21.64000031,19.79600031
ULAS J075829.83+222526.7,119.6241,22.4244,T6.5,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.42,0.07,16.523,0.085,15.075,0.084,12.484,,8.91,,18.68,0.04,17.62,0.02,17.91,0.02,17.87,0.12,,,,,19.78600008
ULAS J124639.33+032314.3,191.6643,3.3874,T5.0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.42,0.07,,,,,,,,,18.954,0.062,17.597,0.031,18.052,0.132,,,,,,,19.78600008
CFBDS J212243.69+042941.9,320.6822,4.4946,T2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,20.42,0.14,16.522,0.083,16.1,0.201,12.382,,8.911,,,,,,,,,,,,,21.10999962,19.78600008
ULAS J025940.95+054934.8,44.9206,5.8263,L3:,13,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.08,20.41,0.07,15.864,0.047,15.48,0.102,11.794,,8.602,,19.279,0.079,18.024,0.045,17.189,0.044,16.48,0.038,,,22.34999931,20.68999954,19.77599985
ULAS J135607.41+085345.2,209.0307,8.8957,T5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.41,0.06,18.232,0.288,16.002,0.149,12.232,,9.222,,19.37,0.05,18.04,0.05,18.19,0.03,18.22,0.05,,,,,19.77599985
ULAS J121355.51+053517.1,183.4814,5.5879,T3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,20.4,0.07,16.887,0.112,16.306,0.272,12.514,,8.643,,18.934,0.071,17.882,0.044,17.617,0.069,17.639,0.133,,,,21.50999924,19.76599962
ULAS J003716.06-005404.7,9.3171,-0.9014,L3:,13,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.09,20.39,0.09,16.11,0.068,15.867,0.179,12.1,,8.598,,19.449,0.106,18.085,0.057,17.33,0.063,16.662,0.053,,,22.42999924,20.93999954,19.75599939
WISEPA J030724.57+290447.6,46.8525,29.0799,T6.5,26.5,,,,,,,,,,,,,,17.78,0.11,17.7,0.14,17.78,0.21,,,,,,,,0.11,20.38,0.06,17.148,0.14,15.058,0.082,12.364,,8.578,,18.627,0.059,17.342,0.033,17.746,0.141,18.084,0.122,,,,21.66999908,19.74599916
ULAS J105134.32-015449.8,162.8929,-1.9138,T6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.38,0.08,17.349,0.155,15.743,0.153,12.596,,9.166,,18.85,0.03,17.75,0.02,18.07,0.02,18.27,0.04,,,,,19.74599916
WISE J111838.70+312537.9,169.6612,31.4272,T8.5,28.5,8.73,0.03,,,,,,,,,,,,18.22,0.16,18.13,0.23,,,,,,,,,,,20.38,0.01,16.158,0.053,13.341,0.028,12.241,0.33,8.646,,19.18,0.12,17.792,0.053,18.15,0.06,18.746,0.15,,,,,19.74599916
ULAS J033005.72+055653.4,52.524,5.9482,L5:,15,,,-14.1,-4.3,14.74109901,,,,,,,,,,,,,,,,,,,,,0.12,0.08,20.37,0.04,15.348,0.042,15.003,0.077,12.404,,8.272,,19.512,0.107,17.948,0.045,16.843,0.032,15.948,0.024,,,22.25999916,20.78999992,19.73600084
PLIZ 35,58.1632,24.7747,L1,11,,,,,,,,,,,,,,18.256,,16.834,0.137,16.523,0.137,,,,,,,0.13,0.05,20.37,0.08,15.963,0.057,15.586,0.132,12.52,,8.771,,19.271,0.1,18.066,0.055,17.106,0.042,16.509,0.042,,,22.18999947,20.69999977,19.73600084
ULAS J232732.12+010252.7,351.8838,1.0481,L4:,14,,,-4,-60.3,60.43252436,,,,,,,,,,,,,,,,,,,,,0.09,0.05,20.37,0.06,16.112,0.064,15.792,0.155,12.084,,9.025,,19.261,0.07,18.068,0.047,17.236,0.063,16.608,0.06,,,22.41000069,20.89000031,19.73600084
CFHT-IC 348-27,56.287,32.2631,L0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,20.36,0.14,15.565,0.071,15.189,0.105,11.1,0.168,8.877,,19.297,0.101,18.139,0.055,17.206,0.032,16.371,0.031,,,,21.39000031,19.72600061
ULAS J223347.82+002214.0,338.4493,0.3706,T0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,20.35,0.12,15.964,0.058,15.432,0.121,12.499,,8.516,,19.119,0.068,18.068,0.048,17.361,0.063,16.641,0.05,,,,21.01999947,19.71600038
ULAS J230203.04+070038.8,345.5128,7.0107,T4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,20.33,0.04,16.647,0.088,15.821,0.15,12.241,,8.81,,18.954,0.067,17.625,0.032,17.379,0.047,17.514,0.088,,,,21.13000008,19.69599992
ULAS J233942.81+075327.2,354.9283,7.8908,L4,14,,,16.7,45.8,48.74966667,,,,,,,,,,,,,,,,,,,,,0.11,0.11,20.33,0.07,15.963,0.059,15.717,0.155,12.05,,8.81,,19.84,0.128,18.134,0.048,17.337,0.065,16.541,0.047,,,22.50999916,20.80000015,19.69599992
WISEPA J172844.93+571643.6,262.1872,57.2786,T6,26,25.4,1.6,,,,,,,,,,,,17.68,0.05,17.88,0.07,,,,,,,,,,0.2,20.32,0.1,17.297,0.08,14.966,0.046,12.678,,9.721,,18.538,0.056,17.42,0.02,17.679,0.056,17.809,0.064,,,,21.31000038,19.68599969
CFHT-IC 348-20,56.2105,31.9492,M7,7,,,-2.8,-3.1,4.177319715,,,,,,,,,,,,,,,,,,,,,,0.05,20.31,0.08,,,,,,,,,19.251,0.099,17.872,0.038,17.05,0.036,16.386,0.041,,,,20.81000038,19.67599947
IfA 0230-Z1,36.6552,0.8646,T3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.29,0.15,,,,,,,,,19.268,0.093,18.354,0.062,17.827,0.092,17.802,0.14,,,,,19.65600092
ULAS J132048.12+102910.6,200.2005,10.4861,T5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.29,0.03,18.054,0.251,16.174,0.175,12.943,,9.274,,18.973,0.06,17.697,0.028,17.891,0.05,18.173,0.133,,,,,19.65600092
ULAS J134612.77+082503.3,206.5533,8.4176,L2,12,,,-83.7,30.8,89.18705063,,,,,,,,,,,,,,,,,,,,,0.1,0.07,20.28,0.06,15.936,0.047,15.558,0.098,12.88,,9.081,,19.356,0.108,18.005,0.043,17.257,0.037,16.5,0.036,,,21.91000069,20.66999908,19.64600069
BRBÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ 21.00,58.5426,23.6943,L3,13,,,63.4,28.1,69.3481795,,,,,,,,,,,,,,,,,,,,,,0.1,20.27,0.08,15.934,0.06,15.579,0.139,11.74,,8.599,0.462,19.26,0.101,18.143,0.062,17.171,0.046,16.393,0.04,,,,20.83999916,19.63600046
ULAS J092659.46-005611.1,141.7478,-0.9366,L3:,13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,20.26,0.08,16.402,0.075,15.898,0.156,11.991,,8.463,,19.255,0.092,17.972,0.051,17.37,0.072,16.894,0.079,,,,20.78999992,19.62600023
