name,ra,decl,spt,sptnum,plx,plx_err,pmra,pmdec,pmtot,radvel,radvel_err,GAIA_G,GAIA_Ge,GAIA_B,GAIA_Be,GAIA_R,GAIA_Re,2MASS_J,2MASS_Je,2MASS_H,2MASS_He,2MASS_KS,2MASS_KSe,SDSS_G,SDSS_R,SDSS_I,SDSS_Z,PANSTARRS_Ge,PANSTARRS_Re,PANSTARRS_Ie,PANSTARRS_Ze,PANSTARRS_Y,PANSTARRS_Ye,WISE_W1,WISE_W1e,WISE_W2,WISE_W2e,WISE_W3,WISE_W3e,WISE_W4,WISE_W4e,MKO_Y,MKO_Ye,MKO_J,MKO_Je,MKO_H,MKO_He,MKO_K,MKO_Ke,PANSTARRS_G,PANSTARRS_R,PANSTARRS_I,PANSTARRS_Z,PANSTARRS_Y
SDSS J081752.63+194727.6,124.4694,19.791,,10,57,5,-92.7,-51.8,106.1910072,,,20.295,0.007,21.485,0.202,18.556,0.034,15.573,0.052,14.829,0.052,14.35,0.052,,,,,,0.06,0.02,0.01,17.34,0.01,14.007,0.026,13.726,0.04,11.931,,9.064,,,,,,,,,,,21.89999947,19.40000046,17.78999992,16.70600015
2MASS J14403186-1303263,220.1329,-13.0573,L1 pec (sl. blue),11,52,3,-384.1,-85.4,393.4793133,,,20.263,0.009,21.698,0.377,18.606,0.056,15.379,0.05,14.719,0.065,14.251,0.065,,,,,,,0.03,0.01,17.34,0.02,13.941,0.026,13.738,0.036,12.634,0.428,8.865,,16.324,0.071,15.342,0.05,14.788,0.065,14.229,0.065,,,19.45999992,17.75999924,16.70600015
2MASS J21522609+0937575,328.1087,9.6326,,16,24,4,261.4,143,297.9579836,,,,,,,,,15.19,0.032,14.08,0.034,13.343,0.034,,,,,,,0.02,0.01,17.34,0.02,12.563,0.024,12.17,0.023,11.207,0.172,8.567,,,,15.09,0.02,14.13,0.03,13.32,0.03,,,20.06000031,17.75000092,16.70600015
HIP 6407B,20.5707,3.5232,L1,11,46.9,2.9,43.3,-161.6,167.3004782,,,20.38,0.013,22.212,0.516,18.639,0.03,15.471,0.046,14.651,0.08,14.402,0.08,,,,,,0.01,0.01,0.03,17.33,0.01,13.87,0.025,13.583,0.033,12.644,,9.082,,16.442,0.008,15.345,0.005,14.738,0.006,14.203,0.006,,21.77000031,19.44999969,17.80000015,16.69599992
SDSS J083545.33+222430.9,128.939,22.4086,M8.7,10,89,8,-151.4,-31.8,154.7035875,,,20.249,0.006,21.414,0.138,18.485,0.021,15.735,0.056,14.927,0.068,14.447,0.068,,,,,,0.07,0.02,0,17.33,0.01,14.191,0.028,13.854,0.045,12.432,,8.943,,16.49,0.009,15.559,0.007,14.927,0.008,14.443,0.007,,22.10000023,19.33000076,17.67999931,16.69599992
SDSS J093906.46+341257.5,144.777,34.216,,10,61,5,-98.8,-68.3,120.1096582,,,20.256,0.008,20.906,0.324,18.574,0.034,15.584,0.051,14.883,0.061,14.296,0.061,,,,,,,0.01,0.01,17.33,0.01,14.051,0.027,13.631,0.035,11.908,,8.842,,16.492,0.01,15.503,0.004,14.884,0.007,14.308,0.007,,,19.39000023,17.77999969,16.69599992
SDSS J094047.88+294653.0,145.1996,29.7815,L0.4,11,56,4,-142,-62.1,154.9851928,,,20.321,0.009,21.53,0.353,18.562,0.052,15.292,0.068,14.335,0.051,13.921,0.051,,,,,,,0.02,0,17.33,0.01,13.506,0.024,13.252,0.03,12.509,,9.003,,16.398,0.085,15.253,0.068,14.406,0.051,13.907,0.051,,,19.42999924,17.78999992,16.69599992
2MASS J16452207+3004071,251.3419,30.0686,L3.0,13,27.1,0.6,-71,-68.7,98.79620438,,,20.277,0.008,21.259,0.275,18.591,0.031,15.19,0.038,14.213,0.038,13.587,0.038,,,,,,0.08,0.01,0.01,17.33,0.01,13.046,0.024,12.723,0.024,12.584,0.421,8.948,,16.412,0.008,15.087,0.004,14.24,0.004,13.531,0.004,,22.02000031,19.35999954,17.77999969,16.69599992
Cl* Melotte 25 DKJ 14784e,68.345,12.3974,,9,78,5,,,,,,20.204,0.006,21.609,0.156,18.495,0.032,15.576,0.064,14.815,0.056,14.401,0.078,,,,,,0.07,0.01,0.01,17.32,0.01,13.826,0.026,13.496,0.046,11.735,,8.36,,16.377,0.059,15.45,0.03,14.82,0.07,14.18,0.02,,22.30999931,19.32000053,17.67999931,16.68599969
2MASS J08254335-0029110,126.4306,-0.4864,L0.3 FLD-G,10.3,73,6,-34.8,-17.6,38.99743581,,,20.297,0.009,21.354,0.334,18.58,0.038,15.45,0.057,14.584,0.059,13.977,0.059,,,,,,0.09,0.02,0.01,17.32,0.01,13.545,0.025,13.243,0.032,11.79,,9.052,,16.448,0.01,15.363,0.006,14.636,0.005,14.009,0.005,,22.01000008,19.42999924,17.74000069,16.68599969
WISEA J053257.29+041842.5,83.2379,4.3131,L3,13,35.2,1.1,276.2,-440.6,520.0142306,,,20.194,0.009,21.853,0.39,18.612,0.03,15.44,0.063,14.415,0.061,13.855,0.061,,,,,,0.05,0.02,0.01,17.31,0.02,13.3,0.026,12.97,0.029,12.131,0.398,8.742,,,,,,,,,,,21.64999947,19.33999908,17.69999977,16.67599947
SDSS J073519.59+410850.4,113.8318,41.1475,M8.9,10,61,4,-169.2,-106.3,199.8207447,,,20.173,0.008,22.005,0.354,18.533,0.032,15.78,0.073,15.248,0.101,14.853,0.101,,,,,,,0.01,0.01,17.31,0.01,14.453,0.03,14.096,0.043,12.664,,8.724,,16.537,0.09,15.727,0.073,15.316,0.101,14.823,0.101,,,19.30000008,17.63000008,16.67599947
SDSS J093328.00+265448.4,143.3668,26.9137,,10,78,5,-119.2,-205.5,237.5687059,,,20.185,0.007,20.724,0.344,18.521,0.017,15.649,0.051,15.064,0.058,14.344,0.058,,,,,,0.11,0.02,0.01,17.31,0.01,14.258,0.029,13.894,0.041,12.161,,8.779,,,,,,,,,,,21.89999947,19.31000031,17.66000076,16.67599947
SDSS J131221.79+290935.0,198.0905,29.1599,,10,49.3,1.9,209.5,-123.7,243.2939375,,,20.302,0.007,21.69,0.218,18.58,0.023,15.328,0.057,14.776,0.072,14.296,0.072,,,,,,0.16,0.02,0.01,17.31,0.01,14.001,0.027,13.679,0.033,12.872,,9.348,,16.54,0.009,15.406,0.005,14.823,0.006,14.363,0.006,,21.77000031,19.43999947,17.75999924,16.67599947
SDSS J152529.74+200407.9,231.3739,20.0689,,11,61,4,28.7,-30.8,42.09904987,,,20.215,0.009,21.056,0.338,18.517,0.043,15.507,0.051,14.606,0.05,14.016,0.05,,,,,,0.08,0.01,0.01,17.31,0.01,13.744,0.026,13.496,0.03,13.148,,9.465,,,,,,,,,,,21.99999985,19.39000023,17.74000069,16.67599947
SDSS J114805.02+020350.9,177.0209,2.0642,,11,59,3,198.1,-341.5,394.7985056,,,20.252,0.009,21.631,0.266,18.509,0.028,15.517,0.073,15.01,0.116,14.509,0.116,,,,,,,0.09,0.01,17.3,0.01,14.187,0.028,13.85,0.037,11.891,,8.755,,16.417,0.011,15.413,0.006,14.945,0.007,14.486,0.008,,,19.50999916,17.73000046,16.66599924
SDSS J135955.19+324719.0,209.9801,32.7887,,10,74,5,-83,-77.8,113.7622081,,,20.319,0.006,21.525,0.173,18.518,0.016,15.584,0.054,14.818,0.072,14.312,0.072,,,,,,0.09,0.01,0.01,17.3,0.01,13.999,0.026,13.693,0.032,12.398,,9.123,,16.435,0.009,15.414,0.006,14.858,0.006,14.351,0.007,,21.90999969,19.40000046,17.69999977,16.66599924
SDSS J144842.76+371932.1,222.1782,37.3256,,10,53.2,2,-94.9,26.1,98.42367601,,,20.279,0.005,21.539,0.139,18.556,0.023,,,,,,,,,,,,0.11,0.01,0.01,17.3,0.01,13.672,0.025,13.395,0.027,12.319,0.262,9.252,,,,,,,,,,,22.04999908,19.44999969,17.77999969,16.66599924
2MASSI J1534498-295227,233.7077,-29.8744,T5.5,25.5,15.87,0.28,96.1,-257.7,275.0354523,,,,,,,,,14.9,0.054,14.866,0.114,14.843,0.114,,,,,,,,0.04,17.29,0.02,13.998,0.029,12.608,0.029,11.623,0.23,8.396,,15.676,0.059,14.6,0.03,14.74,0.03,14.91,0.03,,,,18.47000023,16.65600092
2MASS J21403907+3655563,325.1629,36.9323,M8 pec FLD-G,8,101,5,-123,-67,140.064271,,,19.933,0.004,21.404,0.211,18.32,0.02,15.61,0.068,15.071,0.077,14.675,0.107,,,,,,0.11,0.01,0.01,17.29,0.01,14.645,0.033,14.442,0.045,12.787,,9.208,,16.321,0.084,15.549,0.068,15.111,0.077,14.638,0.107,,21.81999954,18.92000092,17.46,16.65600092
WISE J223617.59+510551.9,339.07,51.0967,T5,25,9.73,0.18,738.6,349,816.9032746,,,,,,,,,14.584,0.036,14.486,0.092,14.445,0.092,,,,,,,,0.01,17.29,0.02,13.827,0.025,12.499,0.025,11.008,0.1,9.319,,15.655,0.014,14.457,0.011,14.615,0.019,14.571,0.051,,,,18.63000008,16.65600092
SDSS J093242.84+042215.2,143.1785,4.3709,,10,63,5,-1.2,-12,12.05985075,,,20.117,0.01,21.774,0.66,18.497,0.035,15.663,0.078,14.906,0.094,14.623,0.094,,,,,,0.16,0.01,0.02,17.28,0.01,14.267,0.028,14.069,0.046,12.462,0.505,8.641,,16.53,0.008,15.585,0.005,14.999,0.008,14.508,0.007,,22.35000023,19.19999969,17.60999962,16.64600069
2MASSI J1305410+204639,196.4211,20.7776,L6.5,15,19.8,0.3,-52.2,82.5,97.62730151,,,20.38,0.007,21.467,0.279,18.639,0.02,15.201,0.053,14.04,0.039,13.368,0.039,,,,,,,0.02,0.01,17.28,0.01,12.595,0.024,12.18,0.023,11.401,0.179,8.533,,16.45,0.073,15.117,0.053,14.13,0.039,13.345,0.039,,,19.74000061,17.80000015,16.64600069
WISE J045746.08-020719.2,74.4423,-2.1222,T2,22,12.2,0.4,101.7,-105.8,146.7532964,,,21.155,0.021,,,,,14.897,0.04,14.198,0.055,14.022,0.055,,,,,,,,0.01,17.27,0.01,13.363,0.025,12.43,0.023,10.96,0.135,9.073,,,,14.64,0.02,14.187,0.004,13.986,0.004,,,,18.47000023,16.63600046
SDSS J100442.60+614628.7,151.1777,61.7746,,10,66.7,2.7,-79.5,-71,106.5891646,,,20.21,0.006,21.556,0.193,18.564,0.021,15.547,0.055,14.787,0.062,14.283,0.062,,,,,,,0.01,0.01,17.27,0.01,13.986,0.024,13.708,0.028,12.761,0.415,9.568,,,,,,,,,,,,19.31000031,17.66999908,16.63600046
SDSS J125437.60+293832.7,193.6568,29.6425,,10,63,8,-43.7,-47.8,64.76519127,,,20.36,0.011,21.269,0.202,18.476,0.051,15.456,0.056,14.596,0.056,14.178,0.056,,,,,,0.06,0.01,0.01,17.27,0.01,13.777,0.026,13.484,0.031,11.957,0.234,9.136,,16.408,0.009,15.307,0.005,14.616,0.005,14.04,0.005,,21.90999969,19.31000031,17.68999954,16.63600046
SDSS J145017.31+461739.4,222.5721,46.2944,,10,72,3,85.4,-196.4,214.1637691,,,20.113,0.009,20.982,0.24,18.44,0.027,15.509,0.05,14.836,0.081,14.422,0.063,,,,,,0.11,0.01,0.01,17.27,0.01,14.073,0.025,13.857,0.03,12.824,,9.494,,,,,,,,,,,21.73999962,19.18999947,17.56000038,16.63600046
2MASSW J1246467+402715,191.6949,40.4542,L4.0,14,22.6,0.4,133.5,-106.1,170.5270067,,,20.301,0.005,21.547,0.137,18.581,0.024,15.088,0.046,13.942,0.039,13.281,0.039,,,,,,0.05,0.02,0.01,17.26,0.01,12.577,0.023,12.207,0.023,11.957,0.247,8.88,,16.287,0.054,14.9,0.02,14.036,0.039,13.252,0.039,,21.70000061,19.57000053,17.75000092,16.62600023
PSO J358.5527+22.1393,358.5524,22.1396,L1.9: INT-G?,11.9,42.9,1.8,95.3,-95.5,134.916048,,,20.186,0.006,21.532,0.262,18.508,0.033,15.356,0.048,14.554,0.051,14.017,0.051,,,,,,,0.02,0.01,17.26,0.01,13.654,0.026,13.375,0.031,12.483,0.453,8.923,,,,15.26,0.04,14.62,0.04,14.02,0.04,,,19.33000076,17.69999977,16.62600023
SDSS J091414.38+105719.5,138.56,10.9554,,10,65,4,1.2,-24.5,24.52937015,,,20.129,0.008,,,,,15.5,0.074,14.807,0.078,14.257,0.098,,,,,,0.14,0.01,0.01,17.25,0.01,14.029,0.028,13.686,0.037,12.504,,8.588,,16.332,0.009,15.406,0.005,14.747,0.005,14.313,0.005,,22.03000053,19.25000084,17.60999962,16.616
SDSS J083621.98+494931.5,129.0917,49.8255,M9.3:,9,58,3,135.6,149.8,202.0579125,,,20.12,0.008,21.554,0.312,18.474,0.036,15.421,0.061,14.639,0.118,14.538,0.118,,,,,,0.05,0.02,0.01,17.24,0.01,14.003,0.027,13.736,0.036,12.516,,9.003,,16.308,0.079,15.384,0.061,14.702,0.118,14.514,0.118,,21.56999954,19.23000038,17.59999939,16.60599977
ULAS2MASS J1452+0931,223.0055,9.5271,,10,46.3,2.1,32.6,-225.8,228.1411844,,,20.108,0.011,,,,,15.418,0.07,14.766,0.086,14.253,0.086,,,,,,0.02,0.02,0.01,17.24,0.01,13.996,0.025,13.621,0.032,12.319,,8.905,,16.346,0.008,15.337,0.003,14.809,0.006,14.279,0.006,,21.79000076,19.28999985,17.61999985,16.60599977
SDSS J163355.23+010027.0,248.4802,1.0075,,10,70,5,31.3,111.2,115.5211236,,,20.064,0.005,21.509,0.183,18.404,0.025,15.607,0.054,15.038,0.048,14.485,0.085,,,,,,,0.01,0.01,17.24,0.01,14.217,0.029,13.968,0.038,12.395,,8.987,,,,,,,,,,,,19.15000046,17.52999969,16.60599977
SDSS J124352.25+131021.3,190.9678,13.1726,,10,81,6,-86.1,-18.8,88.12859922,,,20.116,0.006,21.655,0.246,18.429,0.02,15.575,0.042,14.85,0.064,14.447,0.056,,,,,,0.15,0.01,0.01,17.23,0.01,14.15,0.027,13.886,0.042,12.353,0.47,8.941,,16.409,0.009,15.456,0.006,14.868,0.006,14.382,0.008,,21.57999977,19.25000084,17.59999939,16.59599954
SDSS J133345.36-021600.2,203.4391,-2.2667,L2.2,13,37.2,1.5,-273.8,-121.6,299.5880505,,,20.155,0.008,21.486,0.205,18.438,0.067,15.378,0.043,14.368,0.051,13.852,0.051,,,,,,,0.02,0.01,17.23,0.01,13.54,0.025,13.265,0.03,12.567,0.445,8.614,,16.358,0.01,15.171,0.006,14.467,0.006,13.868,0.006,,,19.30000008,17.65000053,16.59599954
2MASSI J0825196+211552,126.3317,21.2643,L7 pec,17.5,10.85,0.14,-503.3,-301.4,586.645421,,,20.448,0.009,21.127,0.079,18.54,0.05,15.1,0.034,13.792,0.026,13.028,0.026,,,,,,,0.02,0.02,17.22,0.01,12.091,0.023,11.573,0.021,10.509,0.096,8.701,,16.03,0.03,14.89,0.03,13.81,0.03,12.93,0.03,,,20.22000015,17.73000046,16.58599931
WISE J092055.40+453856.3,140.2313,45.6514,L9.5,19.5,12.7,0.6,-84,-854.1,858.2207234,,,,,,,,,15.223,0.052,14.164,0.05,13.728,0.05,,,,,,,0.08,0.03,17.22,0.02,13.084,0.023,12.439,0.023,10.993,0.129,8.943,,16.14,0.052,15.042,0.015,14.193,0.018,13.766,0.011,,,21.15000046,17.92999931,16.58599931
2MASSI J1315309-264951,198.8786,-26.8311,L6.7,15.5,18.6,0.4,-691.1,-286.9,748.2852531,,,20.365,0.01,21.833,0.225,18.57,0.024,15.195,0.051,14.058,0.043,13.462,0.043,,,,,,,0.09,0.06,17.22,0.02,12.736,0.023,12.318,0.023,11.747,0.177,9.235,,16.285,0.071,15.106,0.051,14.135,0.043,13.446,0.043,,,19.85999954,17.74000069,16.58599931
FU Tau B,65.8989,25.0499,,9.2,133,23,1,-34.1,34.11465961,,,20.48,0.007,21.447,0.2,18.574,0.037,15.037,0.115,13.84,0.088,13.329,0.098,,,,,0.09,0.07,0.01,0.02,17.21,0.01,,,,,,,,,,,,,,,13.351,0.003,23.37000092,21.82999977,19.82000053,17.85999962,16.57599908
SDSS J115940.72+540938.6,179.9198,54.1607,L0.9,12,61.7,2.7,-119.1,7.8,119.3551423,,,20.135,0.006,21.207,0.216,18.466,0.023,15.216,0.044,14.339,0.043,13.755,0.043,,,,,,0.14,0.01,0.01,17.21,0.01,13.456,0.024,13.208,0.028,12.61,0.475,8.936,,16.339,0.067,15.17,0.044,14.411,0.043,13.732,0.043,,21.52000031,19.24000061,17.65000053,16.57599908
SDSS J130433.16+090706.9,196.1383,9.1186,,10,54.9,2.4,-132,28.2,134.978665,,,20.173,0.005,21.349,0.23,18.484,0.025,15.287,0.06,14.569,0.071,13.95,0.071,,,,,,0.13,0.02,0.01,17.21,0.01,,,,,,,,,16.322,0.009,15.279,0.004,14.592,0.005,14.029,0.005,,21.73999962,19.26999939,17.65000053,16.57599908
SDSS J145502.93+261919.6,223.7619,26.3222,,11,33.2,0.9,176.7,-124.5,216.1553608,,,20.132,0.006,21.469,0.334,18.444,0.029,15.14,0.049,14.528,0.063,13.867,0.063,,,,,,0.12,0.02,0.01,17.21,0.01,13.424,0.024,13.15,0.026,12.483,0.274,9.36,,,,,,,,,,,21.40999969,19.31000031,17.66999908,16.57599908
SDSSp J041320.38-011424.9,63.3349,-1.2402,,10.5,70,4,57.9,-18.3,60.72314221,,,20.098,0.006,21.839,0.152,18.368,0.022,15.303,0.049,14.657,0.06,14.135,0.06,,,,,,0.11,0.01,0.01,17.2,0.01,13.807,0.026,13.523,0.032,12.29,,8.627,,,,,,,,,,,21.99999985,19.17999924,17.56000038,16.56600076
SDSS J115435.31+623438.2,178.6472,62.5773,,10,52.1,1.9,-149,-8.6,149.2479816,,,20.13,0.01,21.338,0.227,18.44,0.029,15.401,0.054,14.804,0.069,14.259,0.069,,,,,,,0.01,0.01,17.2,0.01,13.939,0.025,13.677,0.032,12.23,,9.108,,,,,,,,,,,,19.26999939,17.60999962,16.56600076
WISE J165842.56+510335.0,254.6786,51.0605,L6 pec,16,31.5,0.7,-281.9,-288.4,403.289189,,,20.27,0.009,21.276,0.266,18.561,0.027,15.062,0.035,14.175,0.042,13.655,0.042,,,,,,,0.02,0.01,17.2,0.01,13.19,0.023,12.809,0.023,12.498,0.291,9.219,,16.195,0.054,14.98,0.02,14.257,0.042,13.637,0.042,,,19.44999969,17.73000046,16.56600076
SDSS J172244.32+632946.8,260.6847,63.4963,L0.7,10,59.9,1.8,41.4,-65.7,77.65597208,,,20.137,0.007,21.373,0.294,18.438,0.037,15.367,0.051,14.551,0.072,14.076,0.072,,,,,,0.07,0.01,0.01,17.2,0.01,13.594,0.024,13.249,0.024,12.831,0.191,10.194,,16.338,0.072,15.31,0.051,14.624,0.072,14.051,0.072,,22.04999908,19.28999985,17.61999985,16.56600076
2MASSI J0032431-223727,8.1796,-22.6242,M9.7,11,44.2,2.3,101.5,-1.6,101.5126101,,,20.13,0.007,20.835,0.318,18.466,0.02,15.388,0.049,14.512,0.051,13.962,0.051,,,,,,0.14,0.01,0,17.19,0.01,13.694,0.026,13.441,0.032,12.71,0.541,8.878,,16.347,0.07,15.353,0.049,14.574,0.051,13.94,0.051,,21.53000053,19.30000008,17.66000076,16.55600053
2MASSI J0453264-175154,73.3603,-17.8651,L2.5 INT-G,13,30.1,0.5,45,-19.1,48.88568298,,,20.178,0.006,21.792,0.205,18.502,0.019,15.142,0.035,14.06,0.035,13.466,0.035,,,,,,0.05,0.01,0.01,17.19,0.01,12.952,0.024,12.608,0.023,12.028,0.211,9.103,,16.263,0.054,14.99,0.02,14.139,0.035,13.442,0.035,,21.90999969,19.32000053,17.67999931,16.55600053
2MASS J08234818+2428577,125.9507,24.4827,L1.5,13,25.3,0.6,-159.3,46.1,165.8363651,,,20.072,0.007,20.809,0.605,18.456,0.035,14.986,0.043,14.06,0.03,13.377,0.03,,,,,,0.06,0.01,0.01,17.19,0.01,12.812,0.023,12.501,0.025,12.045,0.3,8.924,,16.291,0.007,14.994,0.003,14.079,0.004,13.313,0.004,,21.51000008,19.25999916,17.64000031,16.55600053
SDSS J130831.01+081852.3,197.1295,8.3145,,10,47.2,2,-241.9,74.4,253.0829311,,,20.068,0.006,21.299,0.18,18.392,0.022,15.127,0.049,14.353,0.069,13.845,0.069,,,,,,0.06,0.01,0.01,17.19,0.01,13.505,0.025,13.28,0.03,12.304,0.409,8.437,,16.283,0.008,15.16,0.004,14.368,0.004,13.796,0.004,,21.36000046,19.17000092,17.59999939,16.55600053
SDSS J075840.33+324723.4,119.667,32.7886,T2,22,10.6,0.5,-228.4,-332.7,403.5540236,,,20.929,0.018,21.282,0.268,19.027,0.11,14.947,0.045,14.111,0.057,13.879,0.057,,,,,,,,0.02,17.18,0.02,13.088,0.024,12.17,0.024,10.67,0.099,8.625,,15.823,0.054,14.73,0.02,14.21,0.04,13.905,0.057,,,,18.16999908,16.54600031
2MASS J21580457-1550098,329.5193,-15.8363,L5,14,21.7,2.8,42.9,-62.7,75.97170526,,,20.216,0.01,,,,,15.04,0.04,13.867,0.036,13.185,0.036,,,,,,0.06,0.01,0.01,17.18,0.01,12.588,0.023,12.212,0.026,11.929,0.343,8.72,,16.131,0.054,14.84,0.02,13.952,0.036,13.164,0.036,,21.98999962,19.50999916,17.71,16.54600031
SDSSp J085758.45+570851.4,134.4937,57.1476,L8:,18,14.04,0.2,-402.5,-383.4,555.8793124,,,20.466,0.007,21.489,0.217,18.591,0.037,15.038,0.04,13.79,0.03,12.962,0.03,,,,,,,0.07,0.02,17.17,0.01,12.024,0.024,11.439,0.021,10.317,0.063,8.639,0.353,16.087,0.054,14.86,0.02,13.885,0.03,12.939,0.03,,,20.48000038,17.66000076,16.53600008
PM I13518+4157B,207.9478,41.9633,L1.5,11.5,46.9,1.3,-68,-66.3,94.97204852,,,20.159,0.005,21.472,0.195,18.445,0.029,15.081,0.032,14.352,0.04,13.851,0.04,,,,,,0.05,0.02,0,17.17,0.01,13.464,0.024,13.16,0.027,12.41,0.355,8.852,,15.109,0.076,15.018,0.032,14.416,0.04,13.837,0.04,,21.76000008,19.30000008,17.66999908,16.53600008
2MASS J17461199+5034036,266.5499,50.5676,L5.7,15,20.7,0.26,288.3,11.9,288.5454903,,,20.27,0.007,21.501,0.205,18.475,0.037,15.096,0.058,14.047,0.044,13.529,0.044,,,,,,0.07,0.01,0.02,17.17,0.01,12.876,0.023,12.561,0.022,12.132,0.22,9.546,,16.234,0.054,14.95,0.02,14.125,0.044,13.512,0.044,,21.68000015,19.70999992,17.66999908,16.53600008
SDSS J083611.43+450319.5,129.0476,45.0554,,11,44.6,1.2,30.9,-13,33.5232755,,,20.05,0.006,21.635,0.253,18.357,0.021,15.268,0.056,14.423,0.055,13.925,0.055,,,,,,0.02,0.02,0.01,17.16,0.02,13.612,0.025,13.379,0.032,11.935,,9.032,,,,,,,,,,,21.91999992,19.22000015,17.51999947,16.52599985
SDSS J124908.66+415728.6,192.2864,41.958,M9,10,52.6,1.9,-291.2,-81.1,302.2824011,,,20.074,0.005,20.782,0.163,18.395,0.025,15.441,0.046,14.694,0.054,14.292,0.054,,,,,,0.05,0.01,0.01,17.16,0.01,13.916,0.026,13.579,0.031,12.887,0.542,9.338,,16.348,0.068,15.404,0.046,14.758,0.054,14.267,0.054,,21.86000046,19.17000092,17.57000061,16.52599985
SDSS J132511.10+051704.2,201.2962,5.2845,,11,38,1.4,21.7,-92.5,95.01126249,,,20.067,0.007,21.638,0.368,18.442,0.041,15.086,0.045,14.523,0.055,13.91,0.055,,,,,,0.05,0.02,0.02,17.16,0.01,13.584,0.026,13.303,0.029,12.183,,8.68,,16.228,0.008,15.149,0.005,14.494,0.004,13.884,0.005,,21.69000038,19.24000061,17.55000015,16.52599985
SDSS J144139.88+353809.5,220.4162,35.636,,10,100,6,-10.5,14.8,18.1463495,,,20.064,0.005,21.259,0.215,18.384,0.02,15.439,0.055,14.783,0.061,14.186,0.064,,,,,,,0.01,0.01,17.16,0.01,13.84,0.024,13.568,0.028,12.793,0.402,9.055,,,,,,,,,,,,19.14000023,17.52999969,16.52599985
SDSS J160510.15+042152.1,241.2923,4.3645,,10,47.2,1.8,-23.1,-33.6,40.77462446,,,20.012,0.005,21.728,0.336,18.387,0.02,15.243,0.053,14.379,0.044,13.819,0.044,,,,,,0.04,0.01,0.01,17.16,0.01,13.581,0.026,13.319,0.029,12.296,,8.96,,,,,,,,,,,21.45000061,19.14000023,17.55000015,16.52599985
SDSS J085805.47+221457.8,134.5229,22.2495,,11,42.7,1.6,-44.9,-71.5,84.42902345,,,20.077,0.005,20.985,0.189,18.386,0.023,15.231,0.046,14.42,0.047,13.836,0.047,,,,,0.17,0.08,0.01,0.01,17.15,0.02,13.573,0.026,13.32,0.032,12.519,,8.875,,,,,,,,,,22.71999939,21.95000061,19.25000084,17.58999916,16.51599962
SDSS J090154.73+381837.5,135.4781,38.3105,,10,58,3,32.7,-67.6,75.09360825,,,20.028,0.006,20.872,0.34,18.364,0.02,15.305,0.048,14.573,0.057,14.091,0.05,,,,,,0.15,0.01,0,17.15,0.01,13.857,0.025,13.62,0.034,12.55,,8.609,,,,,,,,,,,21.63999924,19.10999954,17.51999947,16.51599962
SDSSp J125453.90-012247.4,193.7246,-1.3798,T2,22,13.5,0.4,-485,114.1,498.2407149,,,20.883,0.015,21.579,0.275,18.893,0.083,14.891,0.035,14.09,0.054,13.837,0.054,,,,,,,,0.06,17.15,0.01,13.314,0.025,12.406,0.024,10.972,0.137,8.355,,15.858,0.006,14.667,0.003,14.136,0.003,13.886,0.005,,,,18.16000076,16.51599962
SDSS J171714.10+652622.2,259.3086,65.4395,L6.2,14,21.32,0.27,148.5,-99.5,178.7526224,,,20.214,0.004,20.269,0.238,18.427,0.016,14.95,0.041,13.84,0.031,13.177,0.031,,,,,,0.02,0.03,0.02,17.15,0.01,12.546,0.023,12.223,0.021,11.517,0.069,10.272,,16.127,0.065,14.858,0.041,13.925,0.031,13.168,0.031,,22.10000023,19.77999962,17.64000031,16.51599962
WISEA J060742.13+455037.0,91.9252,45.8453,L2.5,12.5,25.4,0.6,103.1,-558.2,567.6414802,,,19.969,0.01,20.968,0.183,18.273,0.035,14.942,0.037,14.034,0.028,13.329,0.028,,,,,,0.09,0.02,0.03,17.14,0.01,12.86,0.024,12.541,0.024,11.767,0.252,9.069,,16.149,0.054,14.91,0.02,14.112,0.028,13.308,0.028,,21.46999916,19.16000069,17.50000092,16.50599939
SDSS J080549.90+511312.6,121.4579,51.2202,,11,41.5,1,-36.4,-69.6,78.54374577,,,20.065,0.005,21.409,0.343,18.441,0.025,15.264,0.054,14.378,0.052,13.853,0.052,,,,,,0.13,0.01,0.01,17.14,0.01,13.606,0.024,13.334,0.029,12.529,0.482,9.028,,,,,,,,,,,21.85000023,19.22000015,17.55000015,16.50599939
SDSS J110148.04+544009.2,165.4501,54.6691,,10,90,5,-31.7,-1.2,31.7227048,,,19.984,0.005,21.244,0.222,18.316,0.024,15.359,0.043,14.629,0.05,14.152,0.056,,,,,,0.02,0.01,0.01,17.14,0.01,13.824,0.025,13.55,0.03,12.012,,9.035,,,,,,,,,,,21.89999947,19.07000053,17.46,16.50599939
G 255-34B,203.1887,74.9956,,12,36.4,0.7,-446.3,56.7,449.887297,,,19.977,0.006,21.038,0.328,18.343,0.02,15.103,0.043,14.116,0.033,13.569,0.033,,,,,,,0.01,0.02,17.14,0.01,13.188,0.023,12.948,0.024,12.313,0.254,9.609,,,,,,,,,,,,19.08000076,17.57000061,16.50599939
