NAME,RA,DECL,LIT_SPT_NUM,LIT_SPT_NUM,LIT_METAL_NUM,CAT_PMRA,CAT_PMDEC,CAT_PMRA_E,CAT_PMDEC_E,CAT_PMTOT,CAT_PMTOT_E,WISE_W1,WISE_W1e,WISE_W2,WISE_W2e,GAIA_G,GAIA_B,GAIA_R,GAIA_Ge,GAIA_Be,GAIA_Re,MKO_J,MKO_Je,MKO_H,MKO_He,MKO_K,MKO_Ke,PANSTARRS_G,PANSTARRS_Ge,PANSTARRS_R,PANSTARRS_Re,PANSTARRS_I,PANSTARRS_Ie,PANSTARRS_Z,PANSTARRS_Ze,PANSTARRS_Y,PANSTARRS_Ye
WISE J194128.98−342335.8,295.3716325,-34.39433697,8.0,8,-1,0.33548,-0.561,0.0058,0.0082,0.653657272888476,0.00764129618532396,13.775,0.082,13.446,0.074,18.6472613,20.9442851,17.085173,0.1050050041,0.5708654325,0.1694214244,14.4397,0.0036,15.328,0.103,13.6441,0.0043,,,,,18.044700000000000,0.0107,17.234375,0.011177,,
SDSS J075054.74+445418.7,117.7273229,44.90362488,10.5,10.5,-1,-0.13938,-0.41367,0.0062,0.0074,0.436519934596348,0.00728671083714211,13.805,0.014,13.475,0.012,19.3990635,20.90024905,17.900316,0.1866174409,0.7503511521,0.2121528327,14.9582653,0.005663409363,14.456,0.057,14.247,0.073,23.67,0.361,21.617498,0.129438,19.011100000000000,0.0029,17.07676,0.006574,16.0102,0.0077
2MASS J16262034+3925190,246.5758774,39.42310796,14.0,14,-3,-1.38088,0.25368,0.0043,0.0045,1.40398828940985,0.0043066760978895,13.979,0.015,13.637,0.014,18.3489108,21.36783142,16.81063,0.06165641668,0.5299506626,0.1050139283,14.34063816,0.003661633236,,,,,,,20.571749,0.079773,17.913700000000000,0.005,,,15.1684,0.005
APMPM J0559-2903,89.74740408,-29.05745742,7.5,7.5,-2,0.39892,0.0451,0.0071,0.0072,0.401461301248327,0.00710127079218871,14.097,0.021,13.878,0.019,17.800351,19.490338,16.576213,0.04917818454,0.2746039103,0.1088310811,14.5205,0.003,14.453,0.035,14.3628,0.0075,20.309088000000000,0.008589,18.41828,0.003337,16.834590000000000,0.001612,16.29373,0.001299,15.500193,0.003041
SDSS J165850.26+182000.6,254.7087486,18.33357097,11.0,11,-1,-0.16526,0.08669,0.007,0.0079,0.186617318864033,0.00720373254322922,14.101,0.013,13.824,0.013,20.3330188,21.44919209,18.7838523,0.1006813337,0.550071024,0.277689058,15.51132393,0.007406878285,14.909,0.069,14.572,0.095,24.180000000000000,0.4,21.843626,0.055935,19.908,0.0159,17.946314000000000,0.003888,16.8338,0.0189
2MASS J14405684-2225149,220.2354563,-22.42235869,8.5,8.5,-1,-0.24616,-0.29498,0.0084,0.0092,0.384197795412728,0.0088803152753232,14.117,0.016,13.913,0.016,18.5270748,20.73032085,17.15238,0.07043961219,0.5227711819,0.1577074942,15.0481,0.0064,14.688,0.057,14.3179,0.0081,21.265625,0.036407,19.9018,0.0405,17.546875,0.004528,16.65625,0.003063,15.7769,0.0029
PM J19418-0208,295.4692142,-2.150849591,8.0,8,-1,-0.25092,-1.14,0.0124,0.0116,1.16728781643603,0.011638178055609,14.193,0.041,13.966,0.04,18.03739,20.48137231,16.651512,0.05146425987,0.3398877288,0.096346895,15.719,0.07,15.334,0.109,15.211,0.17,,,19.41354,0.06140197,,,16.747,0.018,,
SSSPM J1930-4311,292.4209593,-43.18085367,7.0,7,-1,-0.00831,-0.931,0.0091,0.0079,0.931037086318263,0.00790010285806248,14.2,0.022,14.016,0.022,17.874358,19.7078025,16.583227,0.05218767484,0.3292414244,0.1086506916,14.7465,0.0065,,,14.1175,0.0061,,,,,,,16.21875,0.002777,,
WISEA J030601.66−033059.0,46.50752706,-3.518557351,11.0,11,-2,0.3317,-1.3017,0.0073,0.0073,1.34329735352974,0.0073,14.201,0.052,14.002,0.054,18.5381686,21.0880907,17.011006,0.07023208261,0.6462339171,0.1695845837,,,,,,,,,21.328500000000000,0.1861,17.9727,0.0063,16.328125,0.003078,,
2MASS J11264705+5816325,171.696526,58.27452333,11.0,11,-1,0.06943,-0.22068,0.007,0.0078,0.231344304662985,0.00773133750966968,14.232,0.014,13.977,0.014,20.479154,21.66014462,18.9238609,0.1032147923,0.6114458789,0.2602730012,15.837,0.076,15.112,0.084,14.543,0.083,25.012,1.221,21.6643,0.1929,20.1017,0.016,18.094767000000000,0.009629,16.9212,0.0095
SSSPM J10130734−1356204,153.2808975,-13.9442754,10.0,10,-3,0.05151,-1.0423,0.0065,0.0076,1.04357202439506,0.00759751356276113,14.239,0.045,14.0,0.046,17.941197,20.42290036,16.561574,0.06634971964,0.4111471178,0.1182015692,,,,,,,21.358600000000000,0.0372,18.78125,0.008179,,,16.65,0.013,,
LSPM J1425+7102,216.2623748,71.03517077,8.0,8,-1,-0.67655,-0.17035,0.0116,0.0043,0.697666843844539,0.0112977859850729,14.28,0.046,14.059,0.043,17.88835,19.826525,16.595092,0.05509538924,0.3274739185,0.1014799766,,,,,,,20.640625,0.092468,18.78125,0.049072,17.1353,0.0045,16.3489,0.0016,15.3886,0.0167
2MASS J14114474-4524153,212.9270176,-45.40563882,9.0,9,-1,-1.46231,-0.27663,0.0045,0.005,1.48824550830836,0.00451819798223521,14.289,0.033,14.07,0.031,18.3297007,21.2376371,16.861128,0.07589089054,0.5409318185,0.130009495,,,,,,,21.75,0.032541,20.211111,0.01286,,,16.815000000000000,0.014,,
SSSPM J1256-1408,194.054847,-14.14929644,9.0,9,-1,-0.89863,-1.31725,0.0073,0.008,1.59457939262992,0.00778450960927201,14.345,0.021,14.217,0.024,17.540892,20.2119236,16.126088,0.05203151549,0.355830514,0.07056573357,13.9796,0.0028,13.6902,0.0037,13.4519,0.0043,20.758821,0.017327,19.0,0.005143,16.476578,0.002302,15.613149,0.002656,14.7331,0.0039
WISEA J181006.18−101000.5,272.5237922,-10.16686727,20.0,20,-2,-1.08748,-0.28753,0.0089,0.0085,1.12484943494674,0.00887441464353572,14.361,0.016,12.958,0.01,,,,,,,15.61,0.081,14.681,0.06,14.257,0.076,,,21.06635,0.1877272,,,,,,
WISEA J045921.21+154059.2,74.83903227,15.68199371,10.0,10,-1,0.41665,-0.555,0.01,0.0109,0.693990073776275,0.0105844259405553,14.37,0.037,14.139,0.037,17.894604,19.7349421,16.673379,0.06048590382,0.3224878598,0.1200771016,14.9514513,0.00564404903,,,,,20.103900000000000,0.0294,18.6442,0.0111,17.147000000000000,0.0044,,,15.5579,0.0532
2MASS J09481253-2903268,147.0499416,-29.05886143,11.0,11,-1,-0.39757,-0.238,0.0076,0.0088,0.463363685348777,0.0079342298941783,14.379,0.015,14.004,0.014,20.0834405,21.69411379,18.5671791,0.09403118958,0.6699331113,0.2122333387,15.5328,0.0092,15.019,0.065,14.6808,0.0112,24.432673,0.112094,20.4761,0.118,19.2467,0.002575,18.175,0.022,16.617,0.0109
LP  258-28,127.7174604,36.21254256,7.0,7,-2,0.42098,-0.715,0.0098,0.0108,0.829728365430518,0.0105516368849571,14.392,0.028,14.249,0.034,17.709327,19.2576805,16.54573,0.05079861964,0.2339150538,0.08597191899,14.90441227,0.004715575371,,,,,19.984375,0.070923,18.228893,0.01775,16.9829,0.0021,16.350441,0.004435,15.4615,0.0249
